date,price
2/8/2022 20:55,44237.75
2/8/2022 20:56,44238.81
2/8/2022 20:57,44257.18
2/8/2022 20:58,44247.35
2/8/2022 20:59,44292.17
2/8/2022 21:00,44257.72
2/8/2022 21:01,44314.21
2/8/2022 21:02,44400.68
2/8/2022 21:03,44365.90
2/8/2022 21:04,44280.39
2/8/2022 21:05,44176.33
2/8/2022 21:06,44203.08
2/8/2022 21:07,44197.00
2/8/2022 21:08,44144.13
2/8/2022 21:09,44141.31
2/8/2022 21:10,44078.54
2/8/2022 21:11,44047.34
